name,price,rating
Neon Sky Vibes,4200,4.1
Electric Dreamscape,12000,4.7
Cosmic Pulse,5500,3.8
Pixelated Cosmos,6300,4.2
Glitchy Wonderland,3700,4
Urban Mirage,8500,2.9
Electric Bloom,14000,4.8
Quantum Escape,6000,3.5
Cyber Serenade,3500,4.3
Future Prisms,7200,3.6
Chromatic Frenzy,10500,4
Mindwave Mysteries,5900,3.7
Neon Nebula,4800,4.1
Luminous Flux,6500,4.6
Twilight Frequencies,11000,4.3
Dystopian Love,4100,2.8
Fractal Fantasy,9000,4.5
Cybernetic Canvas,7800,3.9
Virtual Flow,5200,3.4
Shifting Realities,6400,4.2
HoloSpace Journey,4500,2.7
Neon Nights,5900,3.8
Hazy Dimensions,8200,4.4
Electric Horizon,7000,4.5
Silent Universe,4000,3.3
Chromatic Echoes,6200,3.8
Future Sounds,9500,4
Radiant Shadows,3400,4.1
Digital Rebirth,10800,4.6
Infinite Horizon,7500,4.2
Cybernetic Bloom,5400,3.9
Neon Twilight,4900,4.4
Synthwave Dreams,6800,3.6
Fractal Sparks,9200,3.5
Virtual Rainstorm,5500,4.3
Liquid Nightfall,10200,4.7
Metaphysical Pixels,3800,3.2
Electric Skies,7300,4.1
Cosmic Bloom,12500,4.9
Retro Future Pulse,6100,4
Hypernova Surge,8000,4.2
Glitch Mode On,4300,2.5
Subatomic Symphony,7600,4.3
Quantum Vision,9800,4.6
Urban Jungle Matrix,6900,4
Virtual Eclipse,10000,3.7
Stellar Waves,6400,4.4
Cosmic Mirage,4600,3.9
Celestial Drift,5800,4.2
Circuit Symphony,7000,4
Chromatic Reverie,9500,3.6
Dreamwave Essence,6200,3.7
Quantum Light,4400,4.5
Electric Mirage,6500,3.9
Time Loop Traveler,8300,4.1
Trippy Vortex,6700,4.2
Echoes of Tomorrow,7900,3.8
Starlit Secrets,9100,4.5
Parallel Dream,3300,4
Psychedelic Twilight,8500,4.4
Liquid Dreams,6200,3.9
Virtual Realms,4600,4.2
Vivid Pulse,5300,3.7
Fractal Dreams,8100,4.1
Sonic Dimensions,10000,3.8
Radiant Matrix,6800,4.3
Electric Jungle,4500,2.9
Circuit Bender,7200,3.6
Dream Frequency,6000,4.5
Intergalactic Pulse,9700,4
Vibrant Cyberspace,13000,4.2
Fractal Horizon,8400,4.1
Chromatic Soul,7500,4.7
Vortex Pathways,5200,4.3
Surreal Vibes,10100,3.8
Abstract Frequency,5800,3.5
Interstellar Waves,12200,4.6
Holo Drift,6400,3.8
Neon Mirage,7000,3.7
Cosmic Threads,8700,4.5
Futuristic Canvas,9300,4.2
Meta Reality,6800,4.1
Electric Symphony,10400,4.3
Digital Sparks,4700,4.6
Lunar Vibes,5100,3.5
Chromatic Depths,7200,4.4
Quantum Sparks,11000,4.8
Interdimensional Pulse,8000,4.2
Liquid Frequencies,7700,3.9
Dream Fusion,6300,4
Digital Dystopia,10600,3.7
Holo Imprint,5500,4.5
Vivid Circuitry,6100,4
Pixelated Dreams,7800,3.8
Celestial Noise,6400,3.9
Glitching Horizon,8900,4.1
Virtual Cosmos,14000,4.6
Holo Blast,5700,3.7
Synthetic Fantasy,4800,2.9
Electric Horizons,9600,4.2
